organism_id,organism_name_raw,organism_name_norm,taxonomy_id,kingdom
organism:b7788fff7095,Notopterygium incisum,Notopterygium incisum,,
organism:1c498d35a1c2,Ilex latifolia Thunb,Ilex latifolia Thunb,,
organism:1074177e55ae,Rubus idaeus,Rubus idaeus,,
organism:51deee103f31,Zizania latifolia,Zizania latifolia,,
organism:0a9e7f2db401,Amanita caesarea,Amanita caesarea,,
organism:e0eff5c0d474,Phomopsis liquidambari,Phomopsis liquidambari,,
organism:c4ae214e23bc,Passiflora edulis,Passiflora edulis,,
organism:a0d4d7207ab7,Schisandra chinensis,Schisandra chinensis,,
organism:ea4c1783c7bd,Trichoderma kanganensis,Trichoderma kanganensis,,
organism:52427e6baa07,Phyllostachys pubescens Mazel,Phyllostachys pubescens Mazel,,
organism:6ee0662949d1,Prunus sibirica,Prunus sibirica,,
organism:5efc86ca883e,Rosa,Rosa,,
organism:fc4b5a64a7f2,Siraitia grosvenorii,Siraitia grosvenorii,,
organism:a9553cf4428f,Lilium davidii var. unicolor Cotton,Lilium davidii var. unicolor Cotton,,
organism:166a45e249bd,Chlorella pyrenoidosa,Chlorella pyrenoidosa,,
organism:519a0e13c9f1,Fusarium solani,Fusarium solani,,
organism:e71f270a61a1,Eleocharis dulcis,Eleocharis dulcis,,
organism:c07fbaaa1109,Castanea henryi.,Castanea henryi.,,
organism:cfd64439fa55,Lonicera japonica,Lonicera japonica,,
organism:5ee4e5b9b00d,Panax ginseng,Panax ginseng,,
organism:d5a73355effb,Gynostemma pentaphyllum,Gynostemma pentaphyllum,,
organism:50e0567f9c3a,Glehnia littoralis,Glehnia littoralis,,
organism:c4be6b8aba61,Cucurbita moschata Duchesne,Cucurbita moschata Duchesne,,
organism:06cce442ecc8,Cordyceps militaris,Cordyceps militaris,,
organism:716160bf88dd,Plumeria rubra,Plumeria rubra,,
organism:ada24b6bd2b0,Toona sinensis,Toona sinensis,,
organism:bce24e92a26a,Millettia Speciosa Champ,Millettia Speciosa Champ,,
organism:40d11b013739,Sedum sarmentosum Bunge,Sedum sarmentosum Bunge,,
organism:6f3ff6a95020,Dimocarpus longan Lour.,Dimocarpus longan Lour.,,
organism:1182e12355c2,Shiraia bambusicola,Shiraia bambusicola,,
organism:e2b990917659,Angelica sinensis,Angelica sinensis,,
organism:ce5bc44202fd,Atractylodis macrocephalae Koidz,Atractylodis macrocephalae Koidz,,
organism:173ba698d5fa,Dendrobium nobile Lindl.,Dendrobium nobile Lindl.,,
organism:de3908fce7d3,Ipomoea batatas (L.),Ipomoea batatas (L.),,
organism:6f4da24b0d60,Apocynum venetum L.,Apocynum venetum L.,,
organism:557206c8586c,Bletilla striata,Bletilla striata,,
organism:086ab99476eb,Hericium erinaceus,Hericium erinaceus,,
organism:df4b534a465a,Radix Ginseng Rubra,Radix Ginseng Rubra,,
organism:5cc482ab435c,Morchella importuna,Morchella importuna,,
organism:23ffa0747119,Astragalus membranaceus,Astragalus membranaceus,,
organism:d111ccb7d3b1,Amomum longiligulare,Amomum longiligulare,,
organism:cd618bb9b720,lichen Xanthoria parietina,lichen Xanthoria parietina,,
organism:ace940a6400d,Lepidium meyenii,Lepidium meyenii,,
organism:6bd696b6de84,marine fungus Hansfordia sinuosae,marine fungus Hansfordia sinuosae,,
organism:8b09a7698ff8,Pleuropterus multiflorus,Pleuropterus multiflorus,,
organism:cfa15222507d,Holothuria scabra,Holothuria scabra,,
organism:ef55426ec273,Platycodon grandiflorus,Platycodon grandiflorus,,
organism:4f2b3beea3ca,Acanthophyllum acerosum,Acanthophyllum acerosum,,
organism:872476c6f719,Allium ampeloprasum,Allium ampeloprasum,,
organism:c9c5e3236dba,Chrysanthemum morifolium,Chrysanthemum morifolium,,
organism:3d506d0df59e,Klebsiella pneumoniae PB12,Klebsiella pneumoniae PB12,,
organism:00bbc336d04c,Lactarius deliciosus,Lactarius deliciosus,,
organism:544eaad9e074,Stichopus japonicus,Stichopus japonicus,,
organism:199c50a55045,Lentinus edodes mycelia,Lentinus edodes mycelia,,
organism:b85fdf9a3253,Fagopyrum tartaricum,Fagopyrum tartaricum,,
organism:b4d3e2d8b090,Sargassum Zhangii,Sargassum Zhangii,,
organism:cac8f6dda684,Solanum muricatum,Solanum muricatum,,
organism:be2dbb6c0577,Triticum aestivum,Triticum aestivum,,
organism:ff47b703bb6e,Polygonatum kingianum,Polygonatum kingianum,,
organism:34f23a8fc3f6,Amanita hemibapha subspecies javanica,Amanita hemibapha subspecies javanica,,
organism:8eed6c0917ef,quinoa,quinoa,,
organism:5686382809fc,Ziziphus jujuba Mill,Ziziphus jujuba Mill,,
organism:0c9baf19a991,Agaricus bisporus,Agaricus bisporus,,
organism:b3273d932199,Artemisia argyi,Artemisia argyi,,
organism:9abe80be55c1,Hohenbuehelia serotina,Hohenbuehelia serotina,,
organism:0e35c0d2cc57,Panax notoginseng,Panax notoginseng,,
organism:57b154518130,Smilax glabra,Smilax glabra,,
organism:367286363570,Artemisia sphaerocephala Krasch,Artemisia sphaerocephala Krasch,,
organism:b12e8379b820,Acanthopanax brachypus,Acanthopanax brachypus,,
organism:f9b8e7877e55,Alhagi sparsifolia,Alhagi sparsifolia,,
organism:9971ad610d36,mannatide,mannatide,,
organism:6ea219de503f,Tricholoma matsutake,Tricholoma matsutake,,
organism:3b5d43d19b72,Ziziphus jujuba,Ziziphus jujuba,,
organism:f70e3ac8bfed,Dendrobium huoshanense,Dendrobium huoshanense,,
organism:ed84399b18a4,Erythronium sibiricum,Erythronium sibiricum,,
organism:f8d50718b1b4,Larix principis-rupprechtii,Larix principis-rupprechtii,,
organism:bd6f06709675,Celosia cristata,Celosia cristata,,
organism:65e81ba0146b,Clinacanthus nutans,Clinacanthus nutans,,
organism:d8ecbbc4b8dd,Rhopilema esculentum,Rhopilema esculentum,,
organism:112ab0235770,Leuconostoc mesenteroides BD1710,Leuconostoc mesenteroides BD1710,,
organism:2a46818d5419,Dendrobium wardianum,Dendrobium wardianum,,
organism:661a1aec39f7,Astragalus,Astragalus,,
organism:b30b5d961078,Polygonatum sibiricum,Polygonatum sibiricum,,
organism:5f15457bbd89,Lonicera japonica Thunb.,Lonicera japonica Thunb.,,
organism:388f54311515,Tremella fuciformis,Tremella fuciformis,,
organism:9eca8523e53e,Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus (L.) Moench,,
organism:1e63d0317840,Saussurea involucrata,Saussurea involucrata,,
organism:589a537d2b59,Coriandrum sativum,Coriandrum sativum,,
organism:cb576fdb2294,Eucommia folium,Eucommia folium,,
organism:07198c918b5a,Dimocarpus longan,Dimocarpus longan,,
organism:53dacc49fa17,Poria cocos,Poria cocos,,
organism:75093c5d8fa7,Houttuynia cordata,Houttuynia cordata,,
organism:952292c0a898,Bletilla ochracea,Bletilla ochracea,,
organism:6f1c66adc749,Cynanchum acutum,Cynanchum acutum,,
organism:20bc30001600,Morchella esculenta,Morchella esculenta,,
organism:dfd8a974072c,Stevia rebaudiana,Stevia rebaudiana,,
organism:b600b52b14dd,Rubus fruticosus,Rubus fruticosus,,
organism:a778ac84e2e0,Gelidium pacificum Okamura,Gelidium pacificum Okamura,,
organism:75dd0d6c58d4,Echinodontium tinctorium,Echinodontium tinctorium,,
organism:1e7b1cd40276,Bacillus sp. H5,Bacillus sp. H5,,
organism:39a9831506ee,Mucor sp.,Mucor sp.,,
organism:e5bc5fde1584,Ilex cornuta,Ilex cornuta,,
organism:73e56fa05f2c,Boletus speciosus,Boletus speciosus,,
organism:4d87cf7157a0,Garcinia mangostana,Garcinia mangostana,,
organism:f2fb95326205,Umbilicaria esculenta,Umbilicaria esculenta,,
organism:8860c603977b,Camellia sinensis,Camellia sinensis,,
organism:b09e9b074af3,Leucosceptrum canum,Leucosceptrum canum,,
organism:de70d7c5a2b0,Sporisorium reilianum,Sporisorium reilianum,,
organism:c8da5812d2b5,Pueraria lobata (Willd.),Pueraria lobata (Willd.),,
organism:3bb5cc422933,Nelumbo nucifera Gaertn.,Nelumbo nucifera Gaertn.,,
organism:2fc783062678,Linum usitatissimum,Linum usitatissimum,,
organism:170ae9be4e89,Rosa laevigata,Rosa laevigata,,
organism:4f828d2bbf7c,Passiflora foetida,Passiflora foetida,,
organism:616e60084a25,Pueraria lobata,Pueraria lobata,,
organism:c85c2b28de7a,Glycyrrhiza inflata,Glycyrrhiza inflata,,
organism:2f0282978b07,Ilex latifolia,Ilex latifolia,,
organism:885f462671fc,Orostachys fimbriata,Orostachys fimbriata,,
organism:2b73cd4bfa0a,Sedum sarmentosum,Sedum sarmentosum,,
organism:2677a3faee6a,Sargassum fusiforme,Sargassum fusiforme,,
organism:44e46b75a208,Aspergillus fumigatus,Aspergillus fumigatus,,
organism:dffa2576e7a5,Zoogloeal ramigera,Zoogloeal ramigera,,
organism:07a7303f67a9,Saccharomyces cerevisiae,Saccharomyces cerevisiae,,
organism:e09857ac7f21,Amanita muscaria,Amanita muscaria,,
organism:c7d0046378a3,Klebsiella pneumoniae,Klebsiella pneumoniae,,
organism:42c168420fc0,Leishmania donovani,Leishmania donovani,,
organism:ff185d9ca521,Cryptococcus neoformans,Cryptococcus neoformans,,
organism:6e7f4fc9f024,Codonopsis pilosula,Codonopsis pilosula,,
organism:0f54f9b5c472,Dendrobium nobile,Dendrobium nobile,,
organism:10a089050d9d,Ganoderma lucidum,Ganoderma lucidum,,
organism:4411236ab33b,Phoma herbarum,Phoma herbarum,,
organism:5a470046bafc,Cudrania tricuspidata,Cudrania tricuspidata,,
organism:78bcc07e9c20,Sterculia lychnophora,Sterculia lychnophora,,
organism:e01478c9d880,Tremella aurantialba,Tremella aurantialba,,
organism:70861cb41f97,Lycium barbarum L.,Lycium barbarum L.,,
organism:f6bf5b11d9a0,Dendrobium officinale,Dendrobium officinale,,
organism:b3f29c43ce4d,Fusarium oxysporum,Fusarium oxysporum,,
organism:b942005d8706,Dendrocalamus latiflorus,Dendrocalamus latiflorus,,
organism:e200d6864f52,Lentinus giganteus,Lentinus giganteus,,
organism:4b198e1fefa0,Ipomoea batatas,Ipomoea batatas,,
organism:8d0e694d24c2,Typha angustifolia L.,Typha angustifolia L.,,
organism:f0ca429d0f1a,Typha angustifolia L,Typha angustifolia L,,
organism:48e4bd79c000,Ulva prolifera,Ulva prolifera,,
organism:5cccd900af7e,Termitomyces albuminosus,Termitomyces albuminosus,,
organism:2c8ac83a5905,Phellinus pini,Phellinus pini,,
organism:22c37602b787,Grifola frondosa,Grifola frondosa,,
organism:3b17e778aed0,Morus alba,Morus alba,,
organism:5de36456e3e1,Salvia miltiorrhiza,Salvia miltiorrhiza,,
organism:6140fa69a8cc,Glycyrrhiza uralensis,Glycyrrhiza uralensis,,
organism:b28708ba2ec0,Bacillus megaterium,Bacillus megaterium,,
organism:65672e0cb49c,Ocimum basilicum,Ocimum basilicum,,
organism:589db1cc3b1b,Codonopsis tangshen,Codonopsis tangshen,,
organism:b1ee987e53b2,Cyclocarya paliurus,Cyclocarya paliurus,,
organism:ff9d4761a591,Glycyrrhiza glabra,Glycyrrhiza glabra,,
organism:99753cc3b7d1,Piperis Dahongpao,Piperis Dahongpao,,
organism:7baa3e6335cd,Echinops ritro,Echinops ritro,,
organism:65cc78762b89,Tamarindus indica,Tamarindus indica,,
organism:2822c8c7f915,Phellinus linteus,Phellinus linteus,,
organism:58c68c978dfc,Moringa oleifera,Moringa oleifera,,
organism:d2a2096f607f,Trichoderma koningii,Trichoderma koningii,,
organism:d9dde50e9903,Ophiocordyceps sinensis,Ophiocordyceps sinensis,,
organism:d12cf7e05708,Fritillaria unibracteata var. wabuensis,Fritillaria unibracteata var. wabuensis,,
organism:a1dc03bdb7c5,Antrodia cinnamomea,Antrodia cinnamomea,,
organism:7dffb4831b7e,Rubus amabilis,Rubus amabilis,,
organism:cad53e4293bb,Dendrocalamus brandisii,Dendrocalamus brandisii,,
organism:da3236104446,Meripilus giganteus,Meripilus giganteus,,
organism:cce9a583a447,Typha angustifolia,Typha angustifolia,,
organism:8015216feab2,Anemarrhena asphodeloides,Anemarrhena asphodeloides,,
organism:42099b4af021,/,/,,
organism:428637e84699,Ahnfeltiopsis flabelliformis,Ahnfeltiopsis flabelliformis,,
organism:80a834b66884,Enteromorpha linza,Enteromorpha linza,,
organism:419515b94ea5,Phellinus igniarius,Phellinus igniarius,,
organism:28d31bbfe9f0,Achatina fulica,Achatina fulica,,
organism:48983c10d1c6,Polyporus umbellatus,Polyporus umbellatus,,
organism:84eec3e25eb6,Pholiota nameko,Pholiota nameko,,
organism:c50c4e0f7fa8,Musa,Musa,,
organism:d8be049d6243,Nelumbo nucifera,Nelumbo nucifera,,
organism:6578edec8a51,Smilacina japonica,Smilacina japonica,,
organism:1bc2ef59c71a,Nostoc commune,Nostoc commune,,
organism:4e0501063175,Aster tataricus,Aster tataricus,,
organism:831a821cd889,Porphyra haitanensis,Porphyra haitanensis,,
organism:8f55d380835b,Dioscorea opposita,Dioscorea opposita,,
organism:4ca7947c9ff3,Anoectochilus roxburghii,Anoectochilus roxburghii,,
organism:fed2b8dff564,Nepenthes,Nepenthes,,
organism:aa477ec76613,Ocimum,Ocimum,,
organism:0577646068d9,Codonopsis tangshen Oliv,Codonopsis tangshen Oliv,,
organism:cd2830b8a3d3,Vigna unguiculata,Vigna unguiculata,,
organism:ea5f7f0d0e91,Acanthophyllum bracteatum,Acanthophyllum bracteatum,,
organism:660366db0afd,Lentinus sajor-caju,Lentinus sajor-caju,,
organism:7e2fb4a2f42b,Craterellus cornucopioides,Craterellus cornucopioides,,
organism:73de71612822,Bullacta exarata,Bullacta exarata,,
organism:0c51e8349b0d,Gomphus clavatus,Gomphus clavatus,,
organism:a6ee81078643,Ganoderma capense,Ganoderma capense,,
organism:8443a1bd0e57,Weissella confusa,Weissella confusa,,
organism:4194d856b6b5,Huangshui,Huangshui,,
organism:c6ce879eed55,Xanthoria parietina,Xanthoria parietina,,
organism:5ac488cb11bf,Agaricus blazei Murill,Agaricus blazei Murill,,
organism:2f633d6ce831,Haliotis discus hannai Ino,Haliotis discus hannai Ino,,
organism:45a2d448639c,Piptoporus betulinus,Piptoporus betulinus,,
organism:9c49504deee3,Paenibacillus bovis,Paenibacillus bovis,,
organism:90abc456905a,Lachnum sp.,Lachnum sp.,,
organism:271bf52dbb1b,Ophiopogon japonicus,Ophiopogon japonicus,,
organism:82f2f524ec11,Chinese traditional medicine Huidouba,Chinese traditional medicine Huidouba,,
organism:8aa6a6f16dd3,Chlorella ellipsoidea,Chlorella ellipsoidea,,
organism:17f8cdaf5c0b,hybrid mushroom pfle 1p,hybrid mushroom pfle 1p,,
organism:5fb31d0044cf,Periplaneta americana,Periplaneta americana,,
organism:863e97e495c2,Botryosphaeria rhodina,Botryosphaeria rhodina,,
organism:5b404ecedbfd,Wolfiporia cocos,Wolfiporia cocos,,
organism:21f57367da50,Ramaria gracilis,Ramaria gracilis,,
organism:91b482cfe30e,hindgut populated with abundant microbes,hindgut populated with abundant microbes,,
organism:a2cb20d79b22,Acorus tatarinowii,Acorus tatarinowii,,
organism:b94ceed3e305,Rubus parvifolius,Rubus parvifolius,,
organism:a2783d72bc5b,Isostichopus badionotus,Isostichopus badionotus,,
organism:d09b4d5ea913,Pleurotus eryngii,Pleurotus eryngii,,
organism:dced417220ea,Ginseng,Ginseng,,
organism:3fc27a1b1d4d,Arnebia euchroma（Royle）Johnst,Arnebia euchroma（Royle）Johnst,,
organism:77253b1ebf72,Streptococcus equi subsp. zooepidemicus,Streptococcus equi subsp. zooepidemicus,,
organism:5c68ed240155,Gynostemma pentaphyllum (Thunb.) Makino,Gynostemma pentaphyllum (Thunb.) Makino,,
organism:d6efb8150fed,Lactobacillus casei SB27,Lactobacillus casei SB27,,
organism:e5cd168cc0d8,Cynanchum Auriculatum,Cynanchum Auriculatum,,
organism:5c338eab5204,Euglena gracilis,Euglena gracilis,,
organism:9e4f9fb14f22,Euryale ferox,Euryale ferox,,
organism:30b1237dd04d,Tetrastigma hemsleyanum,Tetrastigma hemsleyanum,,
organism:870eb16aef92,Sargassum henslowianum,Sargassum henslowianum,,
organism:c004b58c48a8,Amomum villosum,Amomum villosum,,
organism:e67c0345e14d,Abelmoschus esculentus,Abelmoschus esculentus,,
organism:13a1b11d2752,Semiaquilegia adoxoides,Semiaquilegia adoxoides,,
organism:7c78c63a36ae,Holothuroidea,Holothuroidea,,
organism:1ec2c627522d,Leucopaxillus giganteus,Leucopaxillus giganteus,,
organism:a804ca590c3c,Cistanche deserticola,Cistanche deserticola,,
organism:edb5d87f9d2d,Mallotus peltatus,Mallotus peltatus,,
organism:ec7aff6eb66b,Umbilicaria yunnana,Umbilicaria yunnana,,
organism:7cfa71d96a37,Larix,Larix,,
organism:e9819e2dc6a7,Cucurbita moschata,Cucurbita moschata,,
organism:19df80e28091,Cornus officinalis,Cornus officinalis,,
organism:f9a8d1b2e68f,Sargassum,Sargassum,,
organism:a8587d1dcadf,Chondrus crispus,Chondrus crispus,,
organism:75f91c4f5ea2,Laminaria longissima,Laminaria longissima,,
organism:5fca76f1802e,Padina pavonica,Padina pavonica,,
organism:abb53809224a,Gracilaria lemaneiformis,Gracilaria lemaneiformis,,
organism:5b629079909c,Sargassum hemiphyllum,Sargassum hemiphyllum,,
organism:62108c487e4a,Cystoseira sedoides,Cystoseira sedoides,,
organism:d40d826a96b5,Coccophora langsdorfii,Coccophora langsdorfii,,
organism:0ce878272401,Perinereis aibuhitensis,Perinereis aibuhitensis,,
organism:f66667807df4,Scytothamnus australis,Scytothamnus australis,,
organism:d39a60c1370e,Cladophora,Cladophora,,
organism:096d666e54b6,Capsosiphon fulvescens,Capsosiphon fulvescens,,
organism:db7ab1db0eb4,Monostroma angicava,Monostroma angicava,,
organism:63d5a57f7087,Gayralia oxysperma,Gayralia oxysperma,,
organism:eb0e579bbbd7,Allium sativum,Allium sativum,,
organism:bcf712f0f678,Lactobacillus plantarum BC-25,Lactobacillus plantarum BC-25,,
organism:34fa6b99275f,Atractylodes,Atractylodes,,
organism:a210d925bfe9,Citrus reticulate,Citrus reticulate,,
organism:c4d96240c435,Juniperus pingii var. Wilsonii,Juniperus pingii var. Wilsonii,,
organism:f80f154aeb81,Crataegus pinnatifida,Crataegus pinnatifida,,
organism:6d40c7fe3244,Pseudomonas aeruginosa,Pseudomonas aeruginosa,,
organism:fdce853f9a2b,Cytophaga sp.,Cytophaga sp.,,
organism:98e3f4d11a05,Aspergillus parasiticus,Aspergillus parasiticus,,
organism:5ccbf02792ef,bovine articular cartilage,bovine articular cartilage,,
organism:fe5395558884,Glycine max,Glycine max,,
organism:612fb356553f,Pleurotus ostreatus,Pleurotus ostreatus,,
organism:6e9225e2c002,syncytiotrophoblastic cells of first-trimester human placentas,syncytiotrophoblastic cells of first-trimester human placentas,,
organism:7a044c6b1ec5,Klebsiella aerogenes,Klebsiella aerogenes,,
organism:fec580cceac6,rice bran,rice bran,,
organism:d04b6c0e5b40,Pasteurella multocida,Pasteurella multocida,,
organism:3c20ecad3e75,the mite Dermatophagoides farinae,the mite Dermatophagoides farinae,,
organism:1465e57e6968,the algae Udotea petiolata,the algae Udotea petiolata,,
organism:8966be8e8747,Amoebae of Dictyostelium discoideum,Amoebae of Dictyostelium discoideum,,
organism:e13e61f3f079,Haemophilus influenzae,Haemophilus influenzae,,
organism:c94f9761bc66,Rhodococcus equi,Rhodococcus equi,,
organism:10eed79819e8,Campylobacter coli,Campylobacter coli,,
organism:5fdd15e5129c,"Human teratocarcinoma derived cells, line PA 1","Human teratocarcinoma derived cells, line PA 1",,
organism:d1ac70e3c1c5,Chicken embryo fibroblasts (C/E phenotype),Chicken embryo fibroblasts (C/E phenotype),,
organism:fee8dea9186b,Yersinia pestis,Yersinia pestis,,
organism:f69a0ac4c7b5,Lentinus edodes,Lentinus edodes,,
organism:8476e4d87fdc,Buccinum undatum,Buccinum undatum,,
organism:e89a5316da99,mouse Engelbreth-Holm-Swarm tumor,mouse Engelbreth-Holm-Swarm tumor,,
organism:a33b54d51761,Ceratocystis ulmi,Ceratocystis ulmi,,
organism:3d369572bee9,Actinobacillus pleuropneumoniae serovar 1,Actinobacillus pleuropneumoniae serovar 1,,
organism:09a636faca9a,yeast cell wall,yeast cell wall,,
organism:8365ab0d47c8,Aplysia californica,Aplysia californica,,
organism:3f06e033b805,Aeromonas salmonicida subsp. salmonicida,Aeromonas salmonicida subsp. salmonicida,,
organism:c06be3dfbc77,B. abortus (Strains 2308 and 19) membrane,B. abortus (Strains 2308 and 19) membrane,,
organism:dfe035247096,Senna alexandrina,Senna alexandrina,,
organism:c2d415888309,Platycodon grandiflorum,Platycodon grandiflorum,,
organism:66e63253a61e,Morchella sextelata,Morchella sextelata,,
organism:b8667f26407c,Pleurotus nebrodensis,Pleurotus nebrodensis,,
organism:efb79f0a5998,Phyllostachys nigra,Phyllostachys nigra,,
organism:d44d859920d1,Inonotus hispidus,Inonotus hispidus,,
organism:57e7c20d83d7,Chroogomphus rutilus,Chroogomphus rutilus,,
organism:cbbc8cd9e4df,LPS-challenged mice,LPS-challenged mice,,
organism:014e40b822e6,Lasiodiplodia theobromae,Lasiodiplodia theobromae,,
organism:3be47f82b16e,Juglans regia,Juglans regia,,
organism:2c7efea260ca,Gastrodia elata,Gastrodia elata,,
organism:d507e209a023,Ephedra sinica,Ephedra sinica,,
organism:234898229c9c,Rhodophyta,Rhodophyta,,
organism:1c5e1673e5c8,Sorbus aucuparia,Sorbus aucuparia,,
organism:e1f9dc12ef70,Lycium ruthenicum,Lycium ruthenicum,,
organism:85fcb35a6e00,Mactra quadrangularis,Mactra quadrangularis,,
organism:babd7e908343,Saccharina japonica,Saccharina japonica,,
organism:9f5031396aea,Undaria pinnatifida,Undaria pinnatifida,,
organism:041114eadc30,Pleurotus geesterani,Pleurotus geesterani,,
organism:2694b54667e3,Lycopus lucidus,Lycopus lucidus,,
organism:8765b31d6d88,Hyriopsis cumingii,Hyriopsis cumingii,,
organism:68899204be37,Boletus speciosus Frost,Boletus speciosus Frost,,
organism:b7b805658025,Nephrolepis cordifolia,Nephrolepis cordifolia,,
organism:8fea9248ff0c,Hypericum perforatum,Hypericum perforatum,,
organism:df5cf638eeb0,Cryptococcus gattii,Cryptococcus gattii,,
organism:35380a8d878c,Schizophyllum commune,Schizophyllum commune,,
organism:8915ad2e4184,Citrus sinensis,Citrus sinensis,,
organism:288ddd934d9c,Lentinula edodes,Lentinula edodes,,
organism:9d00ae2b74fc,Trametes versicolor,Trametes versicolor,,
organism:ceafa0a2290a,Auricularia polytricha,Auricularia polytricha,,
organism:adffeac77ca7,Chenopodium quinoa,Chenopodium quinoa,,
organism:c788d48ccef4,Crotalaria alata,Crotalaria alata,,
organism:0f0cd7e189ff,Nicotiana tabacum,Nicotiana tabacum,,
organism:0c90862e21a9,Portulaca oleracea,Portulaca oleracea,,
organism:f05a8c83e6fd,Phallus indusiatus,Phallus indusiatus,,
organism:64628db2959f,Pleurotus pulmonarius,Pleurotus pulmonarius,,
organism:ce9cd5b11e2a,Fucus vesiculosus,Fucus vesiculosus,,
organism:b28d788f0643,Ulva pertusa,Ulva pertusa,,
organism:dd62e58e41d5,Calocybe indica,Calocybe indica,,
organism:d8cefda760f8,Ginkgo biloba,Ginkgo biloba,,
organism:71b175b6ecd6,Cola cordifolia,Cola cordifolia,,
organism:0ec83900964d,Laminaria ochotensis,Laminaria ochotensis,,
organism:391fdf6970dd,Laminaria japonica,Laminaria japonica,,
organism:a8ac89fd454e,Chorda filum,Chorda filum,,
organism:7c740ace907f,Flammulina filiformis,Flammulina filiformis,,
organism:8ecbcc0639dd,Geotrichum,Geotrichum,,
organism:831249f9503e,Pseudomonas syringae pv. lachrymans,Pseudomonas syringae pv. lachrymans,,
organism:8b9319142401,Xanthomonas campestris,Xanthomonas campestris,,
organism:1279b2400647,Cyamopsis tetragonoloba,Cyamopsis tetragonoloba,,
organism:05dd216e3da9,Ceratonia siliqua,Ceratonia siliqua,,
organism:cb43250e342b,Amorphophallus konjac,Amorphophallus konjac,,
organism:e7c7b8b9390c,Acacia senegal,Acacia senegal,,
organism:dacaaebd4f3e,Cassytha filiformis,Cassytha filiformis,,
organism:427a4ba442f7,Sterculia,Sterculia,,
organism:841ef2a11b44,Chlorella vulgaris,Chlorella vulgaris,,
organism:cd8c742a00b4,Agaricus subrufescens,Agaricus subrufescens,,
organism:459246ffed98,Lilium davidii var. unicolor,Lilium davidii var. unicolor,,
organism:7b629ac5cf60,Kappaphycus alvarezii,Kappaphycus alvarezii,,
organism:2712293912ad,Saccharophagus degradans,Saccharophagus degradans,,
organism:d11b4330c46f,Capsicum annuum var. annuum,Capsicum annuum var. annuum,,
organism:4018769eacfc,Chlorophyta,Chlorophyta,,
organism:658082b8291b,Vitis vinifera,Vitis vinifera,,
organism:661c6aea6982,Holothuria,Holothuria,,
organism:d9598be51e9e,Parastichopus tremulus,Parastichopus tremulus,,
organism:43676bbf85cf,Lycium barbarum,Lycium barbarum,,
organism:29a07643df80,Haliotis discus hannai,Haliotis discus hannai,,
organism:af2823ac390d,Dictyophora indusiata,Dictyophora indusiata,,
organism:b3f33b5773e5,Cordyceps,Cordyceps,,
organism:982eaf3da780,Picea abies,Picea abies,,
organism:cc8c0203d643,Mangifera indica,Mangifera indica,,
organism:c2b3a25e00ac,Coffea arabica,Coffea arabica,,
organism:8bb911af921a,Syzygium guineense,Syzygium guineense,,
organism:c0fab1c9400c,Prunus persica,Prunus persica,,
organism:9dda81bae21e,Lycium chinense,Lycium chinense,,
organism:fda004584ea0,Angelica Sinensis Radix,Angelica Sinensis Radix,,
organism:c7f3398500c2,Chinese Huaishan-yams,Chinese Huaishan-yams,,
organism:0476dfff140f,Gleditsia Sinensis,Gleditsia Sinensis,,
organism:60dd2f81ae9b,Trigonella foenum-graecum,Trigonella foenum-graecum,,
organism:b3178ed101dd,Malus spectabilis,Malus spectabilis,,
organism:fe4a808051c1,Allium cepa,Allium cepa,,
organism:a1b17ea6be96,Euchresta japonica,Euchresta japonica,,
organism:1f63cfb9ccf9,Boswellia carterii,Boswellia carterii,,
organism:fd96f8b26e70,Momordica charantia,Momordica charantia,,
organism:903b9367b94b,Pseudostellaria Heterophylla,Pseudostellaria Heterophylla,,
